1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856.0,854.0,3.0,1,706.0,6.0,150.0,548.0,2.0,2003.0,1710.0,4,8450.0,65.0,196.0,61.0,5,7,856.0,2003,2003,208500
1262.0,0.0,3.0,4,978.0,5.0,284.0,460.0,2.0,1976.0,1262.0,3,9600.0,80.0,0.0,0.0,8,6,1262.0,1976,1976,181500
920.0,866.0,3.0,2,486.0,6.0,434.0,608.0,2.0,2001.0,1786.0,4,11250.0,68.0,162.0,42.0,5,7,920.0,2001,2002,223500
961.0,0.0,3.0,1,216.0,5.0,540.0,642.0,1.0,1998.0,1717.0,4,9550.0,60.0,0.0,35.0,5,7,756.0,1915,1970,140000
1145.0,0.0,4.0,3,655.0,6.0,490.0,836.0,2.0,2000.0,2198.0,4,14260.0,84.0,350.0,84.0,5,8,1145.0,2000,2000,250000
796.0,566.0,1.0,1,732.0,6.0,64.0,480.0,1.0,1993.0,1362.0,3,14115.0,85.0,0.0,30.0,5,5,796.0,1993,1995,143000
1694.0,0.0,3.0,3,1369.0,6.0,317.0,636.0,2.0,2004.0,1694.0,4,10084.0,75.0,186.0,57.0,5,8,1686.0,2004,2005,307000
1107.0,983.0,3.0,2,859.0,5.0,216.0,484.0,2.0,1973.0,2090.0,3,10382.0,69.0,240.0,204.0,6,7,1107.0,1973,1973,200000
1022.0,752.0,2.0,1,0.0,1.0,952.0,468.0,1.0,1931.0,1774.0,3,6120.0,51.0,0.0,0.0,5,7,952.0,1931,1950,129900
1077.0,0.0,2.0,1,851.0,6.0,140.0,205.0,2.0,1939.0,1077.0,3,7420.0,50.0,0.0,4.0,6,5,991.0,1939,1950,118000
1040.0,0.0,3.0,1,906.0,3.0,134.0,384.0,1.0,1965.0,1040.0,3,11200.0,70.0,0.0,0.0,5,5,1040.0,1965,1965,129500
1182.0,1142.0,4.0,1,998.0,4.0,177.0,736.0,3.0,2005.0,2324.0,5,11924.0,85.0,286.0,21.0,5,9,1175.0,2005,2006,345000
912.0,0.0,2.0,1,737.0,5.0,175.0,352.0,2.0,1962.0,912.0,3,12968.0,69.0,0.0,0.0,6,5,912.0,1962,1962,144000
1494.0,0.0,3.0,3,0.0,1.0,1494.0,840.0,2.0,2006.0,1494.0,4,10652.0,91.0,306.0,33.0,5,7,1494.0,2006,2007,279500
1253.0,0.0,3.0,1,733.0,4.0,520.0,352.0,2.0,1960.0,1253.0,3,10920.0,69.0,212.0,213.0,5,6,1253.0,1960,1960,157000
854.0,0.0,2.0,1,0.0,1.0,832.0,576.0,1.0,1991.0,854.0,3,6120.0,51.0,0.0,112.0,8,7,832.0,1929,2001,132000
1004.0,0.0,2.0,1,578.0,5.0,426.0,480.0,3.0,1970.0,1004.0,3,11241.0,69.0,180.0,0.0,7,6,1004.0,1970,1970,149000
1296.0,0.0,2.0,0,0.0,0.0,0.0,516.0,1.0,1967.0,1296.0,3,10791.0,72.0,0.0,0.0,5,4,0.0,1967,1967,90000
1114.0,0.0,3.0,1,646.0,6.0,468.0,576.0,1.0,2004.0,1114.0,4,13695.0,66.0,0.0,102.0,5,5,1114.0,2004,2004,159000
1339.0,0.0,3.0,1,504.0,2.0,525.0,294.0,1.0,1958.0,1339.0,3,7560.0,70.0,0.0,0.0,6,5,1029.0,1958,1965,139000
1158.0,1218.0,4.0,3,0.0,1.0,1158.0,853.0,2.0,2005.0,2376.0,4,14215.0,101.0,380.0,154.0,5,8,1158.0,2005,2006,325300
1108.0,0.0,3.0,1,0.0,1.0,637.0,280.0,1.0,1930.0,1108.0,4,7449.0,57.0,0.0,0.0,7,7,637.0,1930,1950,139400
1795.0,0.0,3.0,1,0.0,4.0,1777.0,534.0,2.0,2002.0,1795.0,4,9742.0,75.0,281.0,159.0,5,8,1777.0,2002,2002,230000
1060.0,0.0,3.0,1,840.0,6.0,200.0,572.0,2.0,1976.0,1060.0,3,4224.0,44.0,0.0,110.0,7,5,1040.0,1976,1976,129900
1060.0,0.0,3.0,2,188.0,3.0,204.0,270.0,1.0,1968.0,1060.0,4,8246.0,69.0,0.0,90.0,8,5,1060.0,1968,2001,154000
1600.0,0.0,3.0,1,0.0,1.0,1566.0,890.0,2.0,2007.0,1600.0,4,14230.0,110.0,640.0,56.0,5,8,1566.0,2007,2007,256300
900.0,0.0,3.0,2,234.0,4.0,180.0,576.0,1.0,2005.0,900.0,4,7200.0,60.0,0.0,32.0,7,5,900.0,1951,2000,134800
1704.0,0.0,3.0,1,1218.0,6.0,486.0,772.0,2.0,2008.0,1704.0,4,11478.0,98.0,200.0,50.0,5,8,1704.0,2007,2008,306000
1600.0,0.0,2.0,4,1277.0,4.0,207.0,319.0,2.0,1957.0,1600.0,3,16321.0,47.0,0.0,258.0,6,5,1484.0,1957,1997,207500
520.0,0.0,1.0,1,0.0,1.0,520.0,240.0,1.0,1920.0,520.0,2,6324.0,60.0,0.0,0.0,6,4,520.0,1927,1950,68500
649.0,668.0,3.0,1,0.0,1.0,649.0,250.0,1.0,1920.0,1317.0,3,8500.0,50.0,0.0,54.0,4,4,649.0,1920,1950,40000
1228.0,0.0,3.0,1,0.0,1.0,1228.0,271.0,1.0,1966.0,1228.0,4,8544.0,69.0,0.0,65.0,6,5,1228.0,1966,2006,149350
1234.0,0.0,3.0,3,0.0,1.0,1234.0,484.0,2.0,2007.0,1234.0,4,11049.0,85.0,0.0,30.0,5,8,1234.0,2007,2007,179900
1700.0,0.0,4.0,1,1018.0,3.0,380.0,447.0,2.0,1959.0,1700.0,4,10552.0,70.0,0.0,38.0,5,5,1398.0,1959,1959,165500
1561.0,0.0,2.0,1,1153.0,6.0,408.0,556.0,3.0,2005.0,1561.0,5,7313.0,60.0,246.0,47.0,5,9,1561.0,2005,2005,277500
1132.0,1320.0,4.0,3,0.0,1.0,1117.0,691.0,2.0,2004.0,2452.0,4,13418.0,108.0,132.0,32.0,5,8,1117.0,2004,2005,309000
1097.0,0.0,3.0,1,0.0,1.0,1097.0,672.0,1.0,1995.0,1097.0,3,10859.0,112.0,0.0,64.0,5,5,1097.0,1994,1995,145000
1297.0,0.0,3.0,1,1213.0,3.0,84.0,498.0,3.0,1954.0,1297.0,3,8532.0,74.0,650.0,0.0,6,5,1297.0,1954,1990,153000
1057.0,0.0,3.0,1,731.0,6.0,326.0,246.0,1.0,1953.0,1057.0,4,7922.0,68.0,0.0,52.0,7,5,1057.0,1953,2007,109000
1152.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1980.0,1152.0,2,6040.0,65.0,0.0,0.0,5,4,0.0,1955,1955,82000
1324.0,0.0,3.0,1,643.0,3.0,445.0,440.0,2.0,1965.0,1324.0,3,8658.0,84.0,101.0,138.0,5,6,1088.0,1965,1965,160000
