GrLivArea,OverallQual
1828.0,9
894.0,5
964.0,5
1689.0,8
1541.0,7
1221.0,7
1324.0,6
1416.0,7
988.0,4
1218.0,6
1656.0,7
1362.0,6
1839.0,6
1375.0,6
1122.0,5
1432.0,5
1456.0,7
1217.0,7
1040.0,5
1224.0,6
1774.0,7
1367.0,5
1360.0,5
848.0,6
2262.0,8
1220.0,4
1414.0,7
2058.0,6
1198.0,6
1659.0,8
1012.0,6
3082.0,7
1812.0,5
1929.0,7
954.0,5
1838.0,9
1640.0,6
1148.0,5
950.0,5
1911.0,8
1635.0,6
1316.0,7
1442.0,6
1078.0,5
1120.0,4
1419.0,8
1389.0,7
1063.0,5
1792.0,9
1216.0,6
1762.0,7
1959.0,7
1208.0,6
1524.0,5
1154.0,4
1048.0,5
886.0,5
943.0,5
1768.0,7
2599.0,9
912.0,5
882.0,5
1337.0,6
2076.0,10
2531.0,8
1768.0,5
1625.0,8
2144.0,6
2775.0,10
1868.0,6
1525.0,7
1571.0,8
796.0,5
2372.0,5
1472.0,7
960.0,4
1838.0,5
1309.0,6
2643.0,9
1131.0,5
1960.0,5
1144.0,5
1056.0,6
693.0,4
1494.0,6
1646.0,8
864.0,5
1566.0,8
1395.0,6
1208.0,4
1513.0,5
1367.0,6
955.0,5
1077.0,3
1056.0,5
1553.0,7
1614.0,7
2042.0,8
1073.0,5
1285.0,5
2117.0,6
605.0,4
1150.0,5
1456.0,6
999.0,7
1500.0,6
1336.0,5
1593.0,6
2184.0,9
1560.0,7
1644.0,5
630.0,4
1113.0,6
2172.0,7
1346.0,4
2610.0,8
1958.0,7
1468.0,8
1734.0,5
1200.0,5
1550.0,7
2230.0,4
1639.0,6
864.0,5
1621.0,7
987.0,6
2519.0,7
1365.0,5
2290.0,8
2596.0,9
907.0,4
1456.0,6
1190.0,5
858.0,4
2223.0,7
1005.0,4
1895.0,7
1040.0,5
1264.0,5
1761.0,7
1034.0,6
1363.0,7
1689.0,6
2113.0,8
1573.0,7
2364.0,9
2034.0,7
1291.0,6
858.0,5
1258.0,6
438.0,2
1400.0,6
954.0,5
1445.0,6
1072.0,6
1664.0,5
2134.0,6
3194.0,8
1824.0,6
1756.0,6
912.0,5
1509.0,6
1608.0,6
1316.0,6
1015.0,5
1134.0,5
1636.0,8
1320.0,7
2126.0,5
1128.0,5
1306.0,5
1344.0,4
2554.0,7
893.0,5
1933.0,6
1218.0,6
1969.0,7
2090.0,8
1484.0,5
1656.0,5
1224.0,6
2054.0,6
854.0,7
1092.0,4
1268.0,5
1661.0,7
1668.0,8
1493.0,6
932.0,6
1277.0,7
1530.0,7
1344.0,5
860.0,5
1314.0,7
1962.0,7
1490.0,7
848.0,6
672.0,5
2340.0,7
1656.0,5
1479.0,7
1226.0,7
2087.0,6
1158.0,6
1154.0,5
1724.0,7
1658.0,6
1126.0,4
1393.0,5
3447.0,8
987.0,6
1355.0,5
2069.0,7
1501.0,7
1976.0,8
1563.0,8
1111.0,7
1502.0,7
1733.0,3
2728.0,9
1302.0,5
1524.0,7
1588.0,4
1125.0,5
1200.0,7
1640.0,6
2127.0,7
972.0,6
2020.0,8
1144.0,5
1352.0,5
1316.0,5
1924.0,8
1164.0,5
952.0,5
2358.0,8
1680.0,6
1912.0,6
1004.0,6
1230.0,4
1167.0,5
1301.0,5
1453.0,7
1601.0,8
1588.0,8
1095.0,6
1050.0,5
960.0,4
1456.0,5
1489.0,6
1726.0,7
2082.0,7
1339.0,7
2450.0,8
1863.0,7
768.0,5
334.0,1
1136.0,6
1337.0,6
912.0,5
1812.0,5
2192.0,5
1184.0,5
1889.0,7
1327.0,5
1422.0,6
1632.0,5
1630.0,7
1526.0,3
1040.0,4
1647.0,6
1981.0,4
1644.0,6
2574.0,8
1824.0,6
1350.0,6
958.0,6
1848.0,6
1620.0,4
1167.0,6
1487.0,6
892.0,5
804.0,5
1140.0,5
1796.0,6
2030.0,6
2007.0,10
691.0,5
1590.0,8
1855.0,6
1804.0,7
1768.0,7
3627.0,10
1298.0,6
1801.0,7
630.0,5
1103.0,6
1178.0,4
1196.0,4
1372.0,7
1431.0,6
1422.0,7
1953.0,6
1121.0,4
2473.0,8
1057.0,5
1110.0,5
2270.0,8
2018.0,9
1386.0,6
1953.0,8
1337.0,8
2285.0,8
1718.0,8
1086.0,5
1555.0,7
1902.0,7
2514.0,7
1224.0,5
1054.0,6
2612.0,8
902.0,5
2353.0,7
1392.0,6
1155.0,5
1904.0,5
1158.0,6
1362.0,6
2291.0,7
1317.0,4
1734.0,8
1194.0,6
1416.0,5
1383.0,5
2002.0,5
1496.0,8
1604.0,5
764.0,5
1732.0,6
1494.0,7
986.0,6
1145.0,7
1484.0,6
1344.0,6
1539.0,5
2504.0,9
747.0,4
2097.0,7
4676.0,10
1176.0,6
720.0,4
1580.0,8
1440.0,4
1476.0,6
1500.0,7
1348.0,5
1200.0,5
1394.0,6
1632.0,6
912.0,5
2624.0,6
1696.0,5
1230.0,5
2727.0,8
1456.0,6
864.0,4
1709.0,6
1665.0,8
2646.0,7
1640.0,7
1699.0,3
1663.0,4
1728.0,5
1845.0,6
1851.0,6
1489.0,8
864.0,6
1256.0,5
816.0,5
1820.0,7
2127.0,7
1065.0,5
1200.0,6
1208.0,7
2482.0,8
1720.0,7
840.0,5
1294.0,6
1090.0,5
2263.0,8
969.0,5
894.0,3
1028.0,5
1958.0,6
1795.0,8
1940.0,9
1178.0,5
1482.0,6
1428.0,7
864.0,5
1111.0,5
1470.0,6
1116.0,6
864.0,6
1297.0,5
1113.0,5
1501.0,7
1547.0,7
1947.0,7
1717.0,8
1052.0,6
2013.0,7
1266.0,7
2868.0,9
2256.0,7
1414.0,7
1721.0,6
1552.0,6
1128.0,4
1118.0,6
1728.0,6
2448.0,8
1473.0,5
1717.0,7
1166.0,7
1370.0,8
1724.0,6
1709.0,7
987.0,6
1802.0,7
2345.0,6
1068.0,6
1617.0,6
1244.0,6
1180.0,4
1223.0,7
1686.0,6
1646.0,8
1144.0,5
1797.0,7
1224.0,4
1865.0,7
1056.0,5
3140.0,9
1212.0,6
